Dino ID,Slot,Ability Name,Description,Damage,Stamina Cost,Cooldown
achillo,Passives,Strong Claws,Cannot be knocked off while latched.,-,FREE,-
achillo,Passives,Strong Grip,Gain 200% increased armor for 5 seconds. Must be latched to activate. Buff is decaying over time.,-,FREE,-
achillo,Head,Bite,Causes medium damage.,55 (-40% latched),FREE,1.5s
achillo,Head,Raptor Strikes,"A quick attack that increases in power with each successful hit. Stacks up to 5 times, stacks last 30 seconds. While latched, this attack becomes a powerful attack that has a scaling stamina cost.",6-54 (140 damage -40% while latched),750,1s (1.5s while latched)
achillo,Senses,Hunter's Instinct,Increases land movement speed by 5% when not in combat.,-,800,-
achillo,Senses,Mob Boss,"Increases the damage of all small Raptors in your group by 10% when within 75m of you. Stacks up to 4 times, for each small Raptor in your group. Disabled if there is more than one Achillobator in the group.",-,800,-
achillo,Senses,Lone Hunter,Gain 10% increased attack damage when not in a group.,0.1,700,-
achillo,Front Limb,Claw Attack,"Causes medium damage, and deals additional damage if used while pounced onto an enemy.",60 (-30% latched),200,4s
achillo,Front Limb,Cruel Swipe,A claw attack that deals more damage to heavier enemies.,"30 (scales from 5-130 base damage depending on target's combat weight, this is not piercing damage, regular damage calculations apply)",450,6s
achillo,Hide,Strength in Numbers,Increases your armor by 10% for and to each nearby small raptor in your group within 75m.,-,500,-
achillo,Hide,Hollow Bones,Reduces jumping stamina cost by 20%.,-,400,-
achillo,Hide,Survival of the Fittest,Increases speed by 5% while bleeding/envenomed. Does not activate when in a group.,-,500,-
achillo,Legs,Leader of the Pack,"Increases your speed by 5% while grouped with small raptors, who gain a 50% increased jump height when they are within 75m of you. Disabled if there is more than one Achillobator in the group.",-,700,-
achillo,Legs,Pounce,"Latch onto another creature with a combat weight of 4,000 or higher, allowing you to perform attacks and other abilities. Release from the latch by jumping. Will automatically release when out of stamina. Only works on heavy targets. Deal 40% less damage while latched.",-,700,-
achillo,Legs,Ripping Kick,"Lunges forward, dealing medium bleed damage. Costs 4 Stamina to use.",40 + 0.4 Bleed,500,4s
achillo,Tail,Counterbalance,Use 15% less stamina when running.,-,500,-
achillo,Tail,Rudder,"Doubles jump control, reduces jump stamina cost by 20%, and reduces incoming fall damage.",-,300,-
achillo,Voice,Bark,Increases the attack of all raptors in your group by 15% within 30 meters for 30 seconds. Able to stack up to 10 times. Costs 10 Stamina to use.,+15% per stack,700,30s
achillo,Voice,Mocking Cackle,Reduce effectiveness of bucking by 50% for 30s to all dinosaurs in a 15m radius. Costs 20 Stamina to use.,-,800,360s
achillo,Voice,Panicking Sprint,Replenishes 25 stamina and reduces the attack damage of all creatures within 30 meters by 20% for 30 seconds. Costs 10 Stamina to use.,-20%,900,180s
achillo,Voice,War Cry,30% increase to armor and stamina recovery of other small raptors within 30 meters in your group for 120 seconds. Costs 20 Stamina to use.,-,800,300s
albert,Passives,Armored Skull,Take no extra damage from head attacks.,-,FREE,-
albert,Passives,Counterattack,Automatically counter attack after successfully blocking. Gain 60% increased knockback resistance while active.,85,FREE,7s
albert,Generic,Block,"Negates damage of an incoming attack for up to 10 seconds if it connects with the head, neck, or front of the body. Uses stamina when activated. Costs 1 Stamina to activate, and 1 Stamina per second to maintain.",-30%,FREE,5s
albert,Head,Sever Tendon,"A bite attack applying the 'Sliced' Debuff. Sliced reduces the movement speed of the target by 2%, and stacks up to 5 times. Upon reaching 5 stacks of Sliced, the target gains immunity to any additional Sliced stacks for 5 minutes.",40,750,1.5s
albert,Head,Headbutt,A quick headbutt attack that causes low damage.,40,FREE,1.25s
albert,Head,Head Slam,A slamming headbutt attack that costs stamina and deals high damage. Costs 3 Stamina to use.,85,900,3s
albert,Senses,Frilled Bond,Increases damage by 10% and armor by 10% to yourself and any Ceratopsians in your group within 50 meters. Stacks up to 4 times.,+10% per stack,700,-
albert,Senses,Pivot,Improves turn speed by 25% while blocking.,-,800,-
albert,Hide,Off Guard,"You are no longer able to use Counterattack. Instead, you gain 75 additional maximum health. 7.5% increased damage resistance while using Block.",-,"1,100",-
albert,Hide,Razor Crest,"Increases the damage of your Counterattack by 50%, and regain 5% of your health over a span of 20 seconds if Counterattack strikes a target. 50% less effective when Bleeding.",+50% to Counterattack (Increases Counterattack damage to 127.5 from 85),"1,000",-
albert,Hide,Second Wind,Gain 150% increased stamina recovery for 12 seconds after receiving a hit while blocking.,-,"1,000",12s
albert,Hide,Solid Frill,"When hit while blocking, gain 15% armor for 60 seconds. Stacks up to 10 times. New stacks will refresh the duration.",-,"1,000",-
albert,Back Limb,Back Kick,A kick attack that causes high damage. Requires slow movement to use. Costs 3.5 Stamina to use.,60,800,3s
albert,Back Limb,Charge,"Charge forward in a line for up to 6 seconds, causing damage to anything you hit. Cannot be interrupted by Knockback. Costs 1.5 Stamina per second to use.",100,"1,100",20s
albert,Back Limb,Stomp,"Stomp the ground in a 10 meter radius to damage all nearby targets. Damage decreases with distance. A smaller radius affects flying and swimming targets. While stomping, you are immune to knockback and spike damage. Costs 8 Stamina to use.",120,"1,000",20s
albert,Back Limb,Swerve,A bite attack that rapidly turns to face behind you and change your direction. Costs 5 Stamina to use.,80 + 8 Knockback,600,8s
albert,Voice,Enrage,Increases your damage by 15% for 60 seconds. This ability can be used if Deafened. Costs 5 Stamina to use.,0.15,400,80s
albert,Voice,Quick Vigor,For 30 seconds your Block has an instant cooldown and does not use any stamina. Reduces Counter attack cooldown by 25%. 7.5% increased damage resistance while using Block. The ability can be used if Deafened. Costs 5 Stamina to use.,-,400,90s
albert,Voice,Vengeful Roar,"For 60 seconds, your Block now reflects damage equal to 75% of any incoming attacks as piercing damage. This ability can be used if Deafened. Costs 5 Stamina to use.",75% Reflect damage,"1,000",120s
alio,Head,Bite,Causes medium damage.,45,FREE,1s
alio,Senses,All For One,"Gain 8% increased damage, which stacks up to 5 times, and 10% increased health recovery rate when in a group with other carnivores of 3 token size or less. Health recovery does not stack.",+8% per stack,"1,000",-
alio,Hide,Dense Feathers,Increases bleed healing by 30%.,-,500,-
alio,Legs,Long Distance Runner,Reduces running stamina drain by 15%.,-,"1,100",-
alio,Legs,Leap,"Increases jump height by 45%, doubles air control, and increases maximum fall death speed by 20% decreasing fall damage.",-,"1,200",-
alio,Tail,Tail Attack,Causes knockback. (Does not cause knockback),15 + 0 Knockback,100,3s
allo,Head,Hatchet Bite,A bite attack that causes low damage and high bleed. Costs 7 Stamina to use.,70 + 0.45 Bleed,400,4s
allo,Head,Bite,Causes medium damage,60,FREE,1.5s
allo,Front Limb,Claw Attack,A claw attack that causes low damage and high bleed.,40 + 0.45 Bleed,200,3s
allo,Hide,Resilient Scales,Increases bleed and venom healing by 20%.,-,800,-
allo,Legs,Strong Legs,Take 60% less knockback and 15% Fracture healing.,-,"1,100",-
allo,Legs,Long Distance Runner,Reduces running stamina drain by 15%.,-,"1,100",-
allo,Tail,Tail Attack,Causes knockback.,15 + 6 Knockback,100,4s
amarg,Character Trait,Spiked Hide,Protective spikes that inflict bleed if they are hit with an attack. Only available on the Angulus and Serratus sub-species.,4.5 + 0.25 Bleed,FREE,-
amarg,Head,Headbutt,A quick headbutt attack that causes medium damage and low bleed. Can be used while running.,40 + 0.4 Bleed,FREE,2.5s
amarg,Senses,Sturdy,Immune to knockback effects.,-,600,-
amarg,Senses,Lone Survivor,10% armor increase and x2 acceleration when not in a group.,-,700,-
amarg,Front Limb,Stomp,"Stomp the ground to damage all nearby targets within a 10 meter radius. Damage decreases with distance. A smaller radius affects flying and swimming targets. While stomping, you are immune to knockback and spike damage. Costs 7.5 Stamina to use.",120,800,20s
amarg,Hide,Resilient Scales,Increases bleed and venom healing by 20%.,-,800,-
amarg,Tail,Tail Attack,A tail attack that causes light damage and knockback.,45 + 12 Knockback,500,3s
anky,Passives,Adrenaline Rush,"Gain up to 50% reduced attack cooldown between 50% and 100% health, scaling with the amount of health missing.",-,FREE,-
anky,Passives,Ironclad,"Heal status effects 100% faster. While crouching, gain 150% increased stamina recovery. Additionally, while crouching and not moving, gain 20% increased bleed healing rate.",-,FREE,-
anky,Passives,Crouched Stance,"Crouching for 5 seconds transitions you into 'Crouched Stance', enabling the use of Area of Effect Tail attacks.",-,FREE,-
anky,Passives,Hardened Hide,Base armor increased by 50%. (Ability is not listed with other passives.),-,FREE,-
anky,Senses,Shockwave,Area of Effect Attacks now have 25% increased range. Area of Effect attacks deal 50% reduced damage to group members.,-,800,-
anky,Senses,Killing Blow,Deal 20% increased damage while a creature not in your group has a fracture or bone break within 50 meters.,0.2,"1,000",-
anky,Senses,Dazing Impacts,"Your Area of Effect attacks now apply 'Dazed' for 3 seconds. While Dazed, targets have reduced movement speed by 5% and can't use active abilities. Targets can only be Dazed every 40 seconds.",-,800,-
anky,Senses,Clubbed Fortress,Increases your and all group members' armor by 25% within 50 meters. Works outside of group despite not displaying any icons.,-,800,-
anky,Front Limb,Tailspin,A 360 degree tail swing attack that deals low damage and has a low cooldown. Deals no fracture damage. Causes knockback. Costs 8 Stamina to use.,60 ×2 + 16 Knockback,600,4s
anky,Front Limb,Swerve,A tail attack that spins you 180 degrees and deals fracture damage. Costs 12 Stamina to use.,80 + 16 Fracture,600,9s
anky,Hide,Rushed Stride,"Crouch Stance now activates 50% faster. For 10 seconds after leaving Crouched Stance, you now gain a 25% sprinting speed boost, 25% improved turning radius, 100% acceleration boost, and makes you immune to knockback.",-,800,-
anky,Hide,Reinforced Plates,Gain 100% armor when below 50% health.,-,800,-
anky,Hide,Fortification,"When hit by an enemy attack, gain 5% additional armor for 240 seconds. Stacks up to 10 times. New stacks will refresh the duration.",-,"1,000",-
anky,Legs,Tireless,Reduces all attacks' stamina cost by 30%.,-,800,-
anky,Legs,Razorback,"While you are in Crouched Stance, you provide 25% increased damage to your group members within 50 meters.",+25% (does not apply solo),800,-
anky,Legs,Jagged Scutes,"While you are in Crouched Stance, enemies that attack you will receive a small amount of Fracture damage.",5 Fracture,"1,000",-
anky,Tail,Smash,A tail attack that slams the ground and deals high damage in a 10 meter radius. Deals knockback. Must be in 'Crouched Stance' to be able to use. Costs 20 Stamina to use.,220 + 9 Knockback,900,10s
anky,Tail,Tail Slam,A tail attack that slams the ground and deals medium damage in a 5 meter radius. Deals knockback. Must be in 'Crouched Stance' to be able to use.,80 + 4 Knockback,100,2s
anky,Tail,Tail Attack,"A tail attack that deals low damage, a small amount of Fracture, and applies a stack of 'Tenderized' to its target. Upon reaching 10 stacks of Tenderized, your target will lose its Bone Break immunity for 5 minutes. Cannot be used in Crouched Stance.",45 + 18 Fracture,FREE,2.5s
anky,Tail,Bone Snap,"Hold to charge the attack, dealing increasing Fracture damage the longer it's charged. Can trigger a Bone Break. Also applies a stack of 'Tenderized' debuff. Upon reaching 10 stacks of Tenderized, your target will lose its Bone Break immunity for 5 minutes. Cannot be used in Crouched Stance. Costs 10 Stamina to use.",105 + 40 Fracture,700,3s
bars,Passives,Ironclad,10% increased armor.,-,FREE,-
bars,Passives,Bipedal Stance,"Pressing the crouch button will instead raise you up onto 2 legs into a bipedal stance. While bipedal, gain +20% stamina recovery and slightly decrease turn radius.",-,FREE,-
bars,Senses,Shockwave,Area of Effect attacks now have 25% increased range. Area of Effect attacks deal 50% reduced damage to group members.,-,800,-
bars,Senses,Musician,20% faster vocal ability cooldowns.,-,700,-
bars,Senses,Family Chorus,"Increase stamina recovery when not grouped. While grouped, you and each Hadrosaur within 50 meters gain 10% stamina recovery. Stacks up to 4 times.",-,800,-
bars,Senses,Dazing Impacts,"Your Area of Effect attacks now apply 'Dazed' for 3 seconds. While Dazed, targets have reduced movement speed by 5% and can't run or use active abilities. Targets can only be Dazed every 40 seconds (incorrectly says 20 seconds in game).",-,800,-
bars,Front Limb,Kick,A kick attack that causes low damage and knockback. Will put you in bipedal stance when used.,40 + 8 Knockback,300,3.5s
