Dino ID,Name,Main Dino Image,2nd Image,Diet,Health,Armor,Sprint Time,Combat Weight,Can Clamp Weight Up To,Clampable By,Group Size,Subspecies,Damage,Defense,Recovery,Land Speed,Water Speed,Survivability,Build URL
achillo,Achillobator,https://static.wikia.nocookie.net/path-of-titans/images/2/2e/Achillo.png,https://static.wikia.nocookie.net/path-of-titans/images/1/18/AchDefault.jpg,Carnivore,550,1,2.23,2200,0,"Sarco, Tylo, Rex",2,"Giganticus: +20% Bleed Damage
Calvus: +50% Acceleration Speed
Barbatus: +10% Health Recovery",★★★,★★,★★,★★★★,★,★★★★,https://dinometa.gg/dinos/achillobator
albert,Albertaceratops,https://static.wikia.nocookie.net/path-of-titans/images/b/b1/AlbertaPreview2.png,https://static.wikia.nocookie.net/path-of-titans/images/0/0f/AlbTLC1.jpeg,Herbivore,650,1,1.4,3500,0,Tylo (Wide Gap),3,"Nesmoi: +10% Stamina Recovery
Taurus: +5% Armor
Crinitus: +3% Attack Damage",★★★,★★★,★★,★★,★,★★★,https://dinometa.gg/dinos/albertaceratops
alio,Alioramus,https://static.wikia.nocookie.net/path-of-titans/images/f/ff/Alioramus_Crimson_In_Forest.jpg,https://cdn.alderongames.wiki/pot-wiki/master/Alio_Pictus.webp,Carnivore,525,1,2.47,2400,0,"Sarco, Tylo, Rex",2,"Altai: +3% Attack Damage
Eritquearcus: +10% Stamina Recovery
Remotus: +25% Jump Height",★★,★,★★★★,★★★★★,★,★★★★★,https://dinometa.gg/dinos/alioramus
allo,Allosaurus,https://static.wikia.nocookie.net/path-of-titans/images/3/33/Allos.png,https://static.wikia.nocookie.net/path-of-titans/images/e/ed/Allorender.jpg,Carnivore,700,1,1.31,3500,0,Tylo (Wide Gap),3,"Fragilis: +10% Health Recovery
Europaeus: +10% Venom and Bleed Healing
Jimmadseni: +3% Attack Damage",★★★,★★,★★,★★★★,★,★★★,https://dinometa.gg/dinos/allosaurus
amarg,Amargasaurus,https://static.wikia.nocookie.net/path-of-titans/images/f/f0/AmargaHeader2.png,https://cdn.alderongames.wiki/pot-wiki/master/AmargaAnole.PNG,Herbivore,800,1,2.47,4000,0,Immune,4,"Cazaui: +10% Armor
Angulus: +25% Attack Knockback, Spines Cause Bleed
Serratus: +5% Attack Damage, Spines Cause Bleed",★★★★,★★★,★★,★,★,★★,https://dinometa.gg/dinos/amargasaurus
anky,Anodontosaurus,https://static.wikia.nocookie.net/path-of-titans/images/f/f4/AnodontoPairHeader.png,https://cdn.alderongames.wiki/pot-wiki/master/Anodonto_Skin_(10).jpg,Herbivore,775,1.5,2.05,4500,0,Immune,4,"Lambei: +10% Venom and Bleed Healing
Obtunsi: +5% Armor
Rasai: +10% Fracture Damage",★★★,★★★★★,★★★★★,★,★,★★★★★,https://dinometa.gg/dinos/anodontosaurus
bars,Barsboldia,https://static.wikia.nocookie.net/path-of-titans/images/9/9c/Barsboldia.jpg,https://static.wikia.nocookie.net/path-of-titans/images/1/14/BarsTLC1.jpeg,Herbivore,950,1.1,0.5,5500,0,Immune,5,"Sicinskii: +10% Health Recovery
Gibbosi: +10% Stamina Recovery
Dorsum: +10% Venom and Bleed Healing",★★,★★★★★,★★★★,★★,★★★,★★★,https://dinometa.gg/dinos/barsboldia
campto,Camptosaurus,https://static.wikia.nocookie.net/path-of-titans/images/8/8f/Campto_strawberry.jpg,https://static.wikia.nocookie.net/path-of-titans/images/c/cb/Campt.jpg,Herbivore,600,1,4.1,1600,0,"Hatz, Sarco, Tylo, Rex",1,"Dispar: +10% Stamina Recovery
Conditus: +25% Jump Height
Latas: +5% Armor",★,★★,★★★★,★★★★★,★,★★★★★,https://dinometa.gg/dinos/camptosaurus
cera,Ceratosaurus,https://static.wikia.nocookie.net/path-of-titans/images/e/e0/CeratosaurusForest.jpg,https://static.wikia.nocookie.net/path-of-titans/images/6/6a/CeraTLC1.jpeg,Carnivore,600,1,2.23,2500,0,"Sarco, Tylo, Rex",2,"Dentisculatus: +10% Stamina Recovery
Nasicornis: +10% Venom and Bleed Healing
Magnicornis: +5% Armor",★★★★,★★,★★,★★★,★,★★★,https://dinometa.gg/dinos/ceratosaurus
conc,Concavenator,https://static.wikia.nocookie.net/path-of-titans/images/c/cf/ConcaThumbnail.jpg,https://static.wikia.nocookie.net/path-of-titans/images/6/6f/ConcTLC1.jpeg,Carnivore,550,1,2.47,2100,0,"Hatz, Sarco, Tylo, Rex",2,"Corcovatus: +5% Bleed Damage
Spinatergus: +10% Stamina Recovery
Carcharus: +20% Swim Stamina",★★,★★,★★★,★★★,★,★★★,https://dinometa.gg/dinos/concavenator
